100	87	90	75	80	85	75
100	89	85	80	97	90	80
90	90	80	100	80	95	85
8	70	60	95	80	100	90
100	75	0	90	65	98	95
100	80	45	80	80	95	100
100	85	60	90	80	100	100
100	90	65	60	80	95	95
100	95	80	85	70	100	90
70	100	90	95	80	85	70
100	100	85	90	75	75	60
92	95	90	85	80	95	90
82	90	85	85	91	100	100
78	70	80	70	80	90	95
100	75	60	75	100	95	90
100	80	0	80	80	90	70
100	85	45	100	75	85	75
100	90	60	65	80	95	80
50	95	65	90	82	95	85
100	100	80	80	80	100	90
100	100	90	85	70	95	95
100	95	85	60	80	90	100
98	90	70	55	80	85	100
79	70	65	90	100	100	95
100	75	50	49	80	98	90
82	80	55	85	80	88	70
